"state","city","avg_age_of_customer"
"Alabama","Auburn","28.0000000000000000"
"Alabama","Decatur","24.5000000000000000"
"Alabama","Florence","50.0000000000000000"
"Alabama","Hoover","19.0000000000000000"
"Alabama","Huntsville","31.0000000000000000"
"Alabama","Mobile","50.0000000000000000"
"Alabama","Montgomery","53.0000000000000000"
"Arizona","Gilbert","46.5000000000000000"
"Arizona","Glendale","45.5000000000000000"
"Arizona","Mesa","40.0000000000000000"
"Arizona","Peoria","35.0000000000000000"
"Arizona","Phoenix","42.0000000000000000"
"Arizona","Scottsdale","53.3333333333333333"
"Arizona","Tucson","40.2000000000000000"
"Arkansas","Fayetteville","30.0000000000000000"
"California","Apple Valley","34.0000000000000000"
"California","Brentwood","58.0000000000000000"
"California","Concord","27.0000000000000000"
"California","Costa Mesa","38.0000000000000000"
"California","Encinitas","53.0000000000000000"
"California","Escondido","42.0000000000000000"
"California","Fairfield","53.0000000000000000"
"California","Fresno","48.0000000000000000"
"California","Hesperia","32.0000000000000000"
"California","Huntington Beach","64.0000000000000000"
"California","Inglewood","41.0000000000000000"
"California","La Quinta","29.0000000000000000"
"California","Laguna Niguel","34.0000000000000000"
"California","Lake Elsinore","51.0000000000000000"
"California","Lancaster","51.0000000000000000"
"California","Long Beach","34.0000000000000000"
"California","Los Angeles","41.5862068965517241"
"California","Manteca","65.0000000000000000"
"California","Mission Viejo","58.5000000000000000"
"California","Murrieta","39.0000000000000000"
"California","Oakland","41.6666666666666667"
"California","Oceanside","42.0000000000000000"
"California","Ontario","59.0000000000000000"
"California","Pasadena","54.6666666666666667"
"California","Pico Rivera","39.0000000000000000"
"California","Redlands","52.0000000000000000"
"California","Riverside","46.0000000000000000"
"California","Roseville","35.5000000000000000"
"California","Salinas","61.5000000000000000"
"California","San Diego","41.4615384615384615"
"California","San Francisco","44.4390243902439024"
"California","San Jose","18.0000000000000000"
"California","Santa Ana","36.5000000000000000"
"California","Santa Clara","60.0000000000000000"
"California","Stockton","35.5000000000000000"
"California","Vallejo","45.0000000000000000"
"California","Whittier","62.0000000000000000"
"Colorado","Arvada","48.0000000000000000"
"Colorado","Aurora","40.6666666666666667"
"Colorado","Broomfield","44.0000000000000000"
"Colorado","Colorado Springs","60.0000000000000000"
"Colorado","Denver","52.3333333333333333"
"Colorado","Fort Collins","65.0000000000000000"
"Colorado","Littleton","20.0000000000000000"
"Colorado","Louisville","53.3333333333333333"
"Colorado","Parker","70.0000000000000000"
"Colorado","Pueblo","45.5000000000000000"
"Connecticut","Fairfield","37.0000000000000000"
"Connecticut","Manchester","20.0000000000000000"
"Connecticut","Middletown","18.0000000000000000"
"Connecticut","Norwich","51.6666666666666667"
"Delaware","Dover","43.3333333333333333"
"Delaware","Newark","60.0000000000000000"
"Delaware","Wilmington","38.5000000000000000"
"District of Columbia","Washington","24.0000000000000000"
"Florida","Boynton Beach","31.0000000000000000"
"Florida","Daytona Beach","30.0000000000000000"
"Florida","Deltona","64.0000000000000000"
"Florida","Fort Lauderdale","65.0000000000000000"
"Florida","Hialeah","46.0000000000000000"
"Florida","Jacksonville","48.2857142857142857"
"Florida","Lakeland","55.0000000000000000"
"Florida","Melbourne","20.0000000000000000"
"Florida","Miami","36.0000000000000000"
"Florida","Palm Coast","61.0000000000000000"
"Florida","Pembroke Pines","25.0000000000000000"
"Florida","Saint Petersburg","48.0000000000000000"
"Florida","Tallahassee","61.0000000000000000"
"Florida","Tamarac","67.0000000000000000"
"Florida","Tampa","54.3333333333333333"
"Georgia","Atlanta","19.0000000000000000"
"Georgia","Columbus","46.4444444444444444"
"Georgia","Macon","33.0000000000000000"
"Georgia","Roswell","47.0000000000000000"
"Georgia","Smyrna","44.0000000000000000"
"Georgia","Warner Robins","21.0000000000000000"
"Illinois","Arlington Heights","69.0000000000000000"
"Illinois","Aurora","41.8000000000000000"
"Illinois","Bloomington","30.0000000000000000"
"Illinois","Chicago","36.6842105263157895"
"Illinois","Decatur","20.0000000000000000"
"Illinois","Elmhurst","52.0000000000000000"
"Illinois","Evanston","29.0000000000000000"
"Illinois","Highland Park","18.0000000000000000"
"Illinois","Naperville","38.0000000000000000"
"Illinois","Orland Park","31.0000000000000000"
"Illinois","Park Ridge","26.0000000000000000"
"Illinois","Peoria","37.0000000000000000"
"Illinois","Quincy","59.0000000000000000"
"Illinois","Rockford","55.0000000000000000"
"Illinois","Skokie","56.0000000000000000"
"Indiana","Columbus","52.4000000000000000"
"Indiana","Indianapolis","20.0000000000000000"
"Indiana","La Porte","28.3333333333333333"
"Indiana","Mishawaka","58.0000000000000000"
