"product_name","order_date","sales_per_quantity"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","2017-09-09","8.74"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","2017-09-29","6.992"
"#10- 4 1/8 x 9 1/2 Recycled Envelopes","2017-12-14","8.74"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","2017-01-14","6.111999999999999"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","2017-04-30","7.64"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","2017-09-03","6.112"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","2017-11-06","7.64"
"#10- 4 1/8 x 9 1/2 Security-Tint Envelopes","2017-11-12","6.112"
"#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes","2017-04-30","15.74"
"#10 Gummed Flap White Envelopes  100/Box","2017-10-31","3.3040000000000003"
"#10 Self-Seal White Envelopes","2017-09-11","11.09"
"#10 White Business Envelopes 4 1/8 x 9 1/2","2017-03-24","15.67"
"#10 White Business Envelopes 4 1/8 x 9 1/2","2017-06-22","12.536"
"#6 3/4 Gummed Flap White Envelopes","2017-10-22","7.92"
"#6 3/4 Gummed Flap White Envelopes","2017-10-27","7.92"
"1.7 Cubic Foot Compact Cube Office Refrigerators","2017-07-20","208.16"
"1.7 Cubic Foot Compact Cube Office Refrigerators","2017-11-06","166.528"
"12-1/2 Diameter Round Wall Clock","2017-01-19","15.984"
"12-1/2 Diameter Round Wall Clock","2017-06-09","7.992"
"12-1/2 Diameter Round Wall Clock","2017-09-24","19.98"
"12 Colored Short Pencils","2017-11-10","2.6"
"14-7/8 x 11 Blue Bar Computer Printout Paper","2017-02-03","38.432"
"14-7/8 x 11 Blue Bar Computer Printout Paper","2017-08-06","38.432"
"14-7/8 x 11 Blue Bar Computer Printout Paper","2017-12-25","48.04"
"2300 Heavy-Duty Transfer File Systems by Perma","2017-10-17","24.98"
"24-Hour Round Wall Clock","2017-05-15","19.98"
"24-Hour Round Wall Clock","2017-10-04","19.98"
"24 Capacity Maxi Data Binder Racks  Pearl","2017-06-10","168.44"
"24 Capacity Maxi Data Binder Racks  Pearl","2017-09-04","210.55"
"3-ring staple pack","2017-12-02","1.5039999999999998"
